"ENTRY","PERIOD","ACCNO","DOCNO","STOCKNO","DESCRIPTION","CATEGORY","GROUP","BRAND","ORDERNO","DATE","QTY","RETAIL","COST","REF","REP","USER","LOCATION","CONTRACT","COMMS","LINECOMMS","TAXCODE","LINETAX","PROJNO","DEPARTMENT","SRETAIL1","SRETAIL2","SRETAIL3","SRETAIL4","SRETAIL5","SRETAIL6","REP","NAME","STOCKNOENT","STOCKBAR","SUPSTOCKNO","SUPREF"
"Invoice",1,"JIM001","00006428","19.3","19KG LPG REFILL","19K","LPG","","","20/03/2020",4.00,326.0875,256.0869,"","002","DARREN","01","",0.0000,0.0000,1,195.65,"","",340.9665,212.4700,212.4700,212.4700,212.4700,212.4700,"DELIVERY","JIMMY'S / INVESCO","","","",""
"Invoice",1,"GO0001","00006429","19.3","19KG LPG REFILL","19K","LPG","","","20/03/2020",2.00,347.8250,256.0869,"","002","DARREN","01","",0.0000,0.0000,1,104.35,"","",340.9665,212.4700,212.4700,212.4700,212.4700,212.4700,"DELIVERY","GOLDEN DRAGON","","","",""
"Invoice",1,"BU0002","00006431","19.3","19KG LPG REFILL","19K","LPG","","","23/03/2020",5.00,326.0900,256.0869,"","002","TANAKA","01","",0.0000,0.0000,1,244.57,"","",340.9665,212.4700,212.4700,212.4700,212.4700,212.4700,"DELIVERY","BULWER CASH STORE","","","",""
"Invoice",1,"GL0001","00006432","19.3","19KG LPG REFILL","19K","LPG","","","23/03/2020",2.00,343.4800,256.0869,"","002","TANAKA","01","",0.0000,0.0000,1,103.05,"","",340.9665,212.4700,212.4700,212.4700,212.4700,212.4700,"DELIVERY","GLORIA BULWER","","","",""
"Invoice",1,"BU0002","00006433","19.3","19KG LPG REFILL","19K","LPG","","","23/03/2020",5.00,326.0900,256.0869,"","002","TANAKA","01","",0.0000,0.0000,1,244.57,"","",340.9665,212.4700,212.4700,212.4700,212.4700,212.4700,"DELIVERY","BULWER CASH STORE","","","",""
"GRV",1,"003ORY","00001234","19.3","19KG LPG REFILL","19K","LPG","","00000000","23/03/2020",-7.00,0.0000,256.0871,"20002144","","DARREN","01","",0.0000,0.0000,1,268.89,"","",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,"ORYX 2020","","","",""
"Invoice",1,"CS0004","00006443","19.3","19KG LPG REFILL","19K","LPG","","","24/03/2020",1.00,365.2200,256.0871,"","001","TANAKA","01","",0.0000,0.0000,1,54.78,"","",340.9665,212.4700,212.4700,212.4700,212.4700,212.4700,"COUNTER SALES","CASH SALES - SPEEDPOINT","","","",""
"Invoice",1,"MA0050","00006445","19.3","19KG LPG REFILL","19K","LPG","","","24/03/2020",10.00,334.7830,256.0871,"","002","DARREN","01","",0.0000,0.0000,1,502.17,"","",340.9665,212.4700,212.4700,212.4700,212.4700,212.4700,"DELIVERY","MAYORS WALK SPAR","","","",""
"Invoice",1,"JIM001","00006446","19.3","19KG LPG REFILL","19K","LPG","","","24/03/2020",4.00,326.0875,256.0871,"","002","DARREN","01","",0.0000,0.0000,1,195.65,"","",340.9665,212.4700,212.4700,212.4700,212.4700,212.4700,"DELIVERY","JIMMY'S / INVESCO","","","",""
"Invoice",1,"SWA002","00006447","19.3","19KG LPG REFILL","19K","LPG","","","24/03/2020",2.00,330.4350,256.0871,"","002","DARREN","01","",0.0000,0.0000,1,99.13,"","",340.9665,212.4700,212.4700,212.4700,212.4700,212.4700,"DELIVERY","SWAADISHT - NEW ACCOUNT","","","",""
"Invoice",1,"ST0002","00006450","19.3","19KG LPG REFILL","19K","LPG","","","24/03/2020",1.00,347.8300,256.0871,"","001","DARREN","01","",0.0000,0.0000,1,52.17,"","",340.9665,212.4700,212.4700,212.4700,212.4700,212.4700,"COUNTER SALES","ST CHRISTOPHER'S SCHOOL","","","",""
"GRV",1,"003ORY","00001235","19.3","19KG LPG REFILL","19K","LPG","","00000000","24/03/2020",-25.00,0.0000,256.0868,"20002182","","DARREN","01","",0.0000,0.0000,1,960.33,"","",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,"ORYX 2020","","","",""
"Invoice",1,"UC0000","00006452","19.3","19KG LPG REFILL","19K","LPG","","","25/03/2020",10.00,294.4930,256.0868,"A65859","002","DARREN","01","",0.0000,0.0000,1,441.74,"","",340.9665,212.4700,212.4700,212.4700,212.4700,212.4700,"DELIVERY","UCL COMPANY (PTY) LTD","","","",""
"GRV",1,"003ORY","00001237","19.3","19KG LPG REFILL","19K","LPG","","00000000","25/03/2020",-10.00,0.0000,256.0870,"20002241","","DARREN","01","",0.0000,0.0000,1,384.13,"","",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,"ORYX 2020","","","",""
"Invoice",1,"CS0004","00006458","19.3","19KG LPG REFILL","19K","LPG","","","25/03/2020",1.00,365.2200,256.0869,"","001","TANAKA","01","",0.0000,0.0000,1,54.78,"","",340.9665,212.4700,212.4700,212.4700,212.4700,212.4700,"COUNTER SALES","CASH SALES - SPEEDPOINT","","","",""
