"ENTRY","PERIOD","ACCNO","NAME","DOCNO","INVNO","DEBORDER","ORDERNO","DEPREF","DATE","REF","AMOUNT","TAX","EXCODE","FAMOUNT","PAID"
"Crd Note",3,"TAN002","TANDOOR THE CLAY OVEN","00012661","00043702","DN#12497-EMPTY","","","09/06/2025","TANDOOR THE CLAY OVEN",-1897.50,-247.50,"00",0.00,"Y"
"Payment",3,"TAN002","TANDOOR THE CLAY OVEN","00039035","00042574","SPEEDP","","PC-76-20","04/06/2025","TANDOOR THE CLAY OVEN",-348.48,0.00,"00",0.00,"Y"
"Payment",3,"TAN002","TANDOOR THE CLAY OVEN","00039035","00042750","SPEEDP","","PC-76-20","04/06/2025","TANDOOR THE CLAY OVEN",-1306.16,0.00,"00",0.00,"Y"
"Payment",3,"TAN002","TANDOOR THE CLAY OVEN","00039035","00042839","SPEEDP","","PC-76-20","04/06/2025","TANDOOR THE CLAY OVEN",-2612.32,0.00,"00",0.00,"Y"
"Payment",3,"TAN002","TANDOOR THE CLAY OVEN","00039035","00042964","SPEEDP","","PC-76-20","04/06/2025","TANDOOR THE CLAY OVEN",-1306.16,0.00,"00",0.00,"Y"
"Payment",3,"TAN002","TANDOOR THE CLAY OVEN","00039035","00043132","SPEEDP","","PC-76-20","04/06/2025","TANDOOR THE CLAY OVEN",-1306.16,0.00,"00",0.00,"Y"
"Payment",3,"TAN002","TANDOOR THE CLAY OVEN","00039035","00043333","SPEEDP","","PC-76-20","04/06/2025","TANDOOR THE CLAY OVEN",-2650.73,0.00,"00",0.00,"Y"
"Payment",3,"TAN002","TANDOOR THE CLAY OVEN","00039035","00043353","SPEEDP","","PC-76-20","04/06/2025","TANDOOR THE CLAY OVEN",-1849.98,0.00,"00",0.00,"Y"
"Payment",3,"TAN002","TANDOOR THE CLAY OVEN","00039035","00043365","SPEEDP","","PC-76-20","04/06/2025","TANDOOR THE CLAY OVEN",-172.50,0.00,"00",0.00,"Y"
"Payment",3,"TAN002","TANDOOR THE CLAY OVEN","00039035","Alloc","SPEEDP","","PC-76-20","04/06/2025","TANDOOR THE CLAY OVEN",-1573.87,0.00,"00",0.00,"Y"
"Payment",3,"TAN002","TANDOOR THE CLAY OVEN","00039035","00043468","SPEEDP","","PC-76-20","04/06/2025","TANDOOR THE CLAY OVEN",-517.50,0.00,"00",0.00,"Y"
"Payment",3,"TAN002","TANDOOR THE CLAY OVEN","00039035","Alloc","SPEEDP","","PC-76-20","04/06/2025","TANDOOR THE CLAY OVEN",1573.87,0.00,"00",0.00,"Y"
"Payment",3,"TAN002","TANDOOR THE CLAY OVEN","00039035","00035359","SPEEDP","","PC-76-20","04/06/2025","TANDOOR THE CLAY OVEN",-598.00,0.00,"00",0.00,"Y"
"Payment",3,"TAN002","TANDOOR THE CLAY OVEN","00039035","00037245","SPEEDP","","PC-76-20","04/06/2025","TANDOOR THE CLAY OVEN",-975.87,0.00,"00",0.00,"Y"
"Invoice",4,"TAN002","TANDOOR THE CLAY OVEN","00043762","00043762","DN#12367","00011391","","10/06/2025","TANDOOR THE CLAY OVEN",3175.35,414.18,"00",0.00,"Y"
